Theta_deg,Theta_rad,Gamma_mean,Gamma_std
214.0,3.735004599267865,1.0327147222222226,0.05584862284615195
215.0,3.7524578917878086,1.0309581666666667,0.05562946105432304
216.0,3.7699111843077517,1.0290761111111109,0.055417184492707355
217.0,3.7873644768276953,1.0270706111111103,0.05522194028709049
218.0,3.8048177693476384,1.024941888888889,0.055049198871846436
219.0,3.822271061867582,1.0226931666666665,0.05490722951260607
220.0,3.839724354387525,1.0203260555555553,0.05480541658649386
221.0,3.857177646907468,1.0178457222222228,0.054751240321116175
222.0,3.8746309394274117,1.0152577222222225,0.05475374003289189
223.0,3.8920842319473548,1.012572277777778,0.054821711542767375
224.0,3.9095375244672983,1.0097999444444439,0.05496258831137597
225.0,3.9269908169872414,1.0069555555555556,0.055182847156040396
226.0,3.944444109507185,1.0040567777777776,0.055487564949831134
227.0,3.961897402027128,1.0011239444444442,0.055879710007769985
228.0,3.9793506945470716,0.9981788888888891,0.05636061720828442
229.0,3.9968039870670147,0.9952470555555553,0.05692740699734494
230.0,4.014257279586958,0.9923543333333337,0.05757550086721879
231.0,4.031710572106901,0.9895281666666667,0.058295843347865604
232.0,4.049163864626845,0.9867964444444438,0.059077399416379794
233.0,4.066617157146788,0.9841860555555554,0.05990543104202029
234.0,4.084070449666731,0.9817213888888887,0.0607651597432817
235.0,4.101523742186674,0.9794269999999996,0.06163614681607972
236.0,4.118977034706618,0.977323388888889,0.06250082308937033
237.0,4.136430327226561,0.9754276111111109,0.06333801590026403
238.0,4.153883619746504,0.9737527222222216,0.06412949830729271
239.0,4.171336912266447,0.9723079444444441,0.06485683947225801
240.0,4.1887902047863905,0.9710955555555562,0.0655020478918384
241.0,4.2062434973063345,0.9701159444444439,0.06605148068570978
242.0,4.223696789826278,0.9693628333333332,0.0664923360268351
243.0,4.241150082346221,0.9688253888888892,0.06681539464461338
244.0,4.258603374866164,0.9684893333333333,0.06701467426865056
245.0,4.276056667386108,0.9683352777777783,0.06708799429298935
246.0,4.293509959906051,0.9683420555555552,0.06703408108067303
247.0,4.310963252425994,0.9684847777777774,0.06685859403294184
248.0,4.328416544945937,0.9687386111111108,0.06656733062399545
249.0,4.34586983746588,0.9690767222222226,0.06617042716291652
250.0,4.363323129985824,0.969473055555556,0.06567893776290525
251.0,4.380776422505767,0.9699004444444449,0.06510724653150048
252.0,4.39822971502571,0.9703374444444441,0.06447031224716468
253.0,4.4156830075456535,0.9707618333333335,0.06378508573914436
254.0,4.4331363000655974,0.9711537222222227,0.06306786085048526
255.0,4.4505895925855405,0.9715002222222219,0.06233515484821237
256.0,4.468042885105484,0.9717888888888887,0.06160283519709938
257.0,4.485496177625427,0.972012611111111,0.060885669791502464
258.0,4.50294947014537,0.9721664444444448,0.06019667289276062
259.0,4.520402762665314,0.9722507222222223,0.059546233522369964
260.0,4.537856055185257,0.9722687777777779,0.0589427849006094
261.0,4.5553093477052,0.9722256666666668,0.058392212352714
262.0,4.572762640225143,0.9721283333333335,0.057897471816805414
263.0,4.590215932745087,0.9719880000000006,0.05745962377956273
264.0,4.60766922526503,0.9718131666666667,0.05707652210921171
265.0,4.625122517784973,0.9716160555555557,0.05674426703785661
266.0,4.642575810304916,0.9714046111111116,0.056459168769847294
267.0,4.6600291028248595,0.971189111111111,0.056214329759599446
268.0,4.6774823953448035,0.9709767222222221,0.05600375117228564
269.0,4.694935687864747,0.9707721111111113,0.05582153980905867
270.0,4.71238898038469,0.9705782777777778,0.055661957563597486
271.0,4.729842272904633,0.9703967222222224,0.05552191270951354
272.0,4.747295565424577,0.9702235555555554,0.055398085763380976
273.0,4.76474885794452,0.9700557222222225,0.05528930442108387
274.0,4.782202150464463,0.9698861666666665,0.05519736192644435
275.0,4.799655442984406,0.969707,0.05512408942961728
276.0,4.817108735504349,0.9695083888888887,0.05507457045945259
277.0,4.834562028024293,0.9692802777777779,0.05505279023537878
278.0,4.852015320544236,0.9690132222222214,0.05506514258035715
279.0,4.869468613064179,0.9686977777777781,0.05511815848757768
280.0,4.886921905584122,0.9683261111111108,0.055216323093698075
281.0,4.904375198104066,0.9678937777777779,0.055364598608332094
282.0,4.9218284906240095,0.9673952777777791,0.05556550639091122
283.0,4.939281783143953,0.9668327222222216,0.055818768795197635
